date,product,quantity,price,region
2023-05-06,Light Strip LED,2,49.99,Europe
2023-05-07,Pad Mouse Ergonomic,3,29.99,USA
2023-05-08,Case Hard Drive External,1,79.99,Australia
2023-05-09,Filter Water Brita,4,34.99,USA
2023-05-10,Holder Phone Car Mount,2,39.99,Canada
2023-05-11,Brush Makeup Set,1,89.99,Europe
2023-05-12,Lock Smart August,1,199.99,USA
2023-05-13,Batteries AA Energizer 48pk,2,24.99,Australia
2023-05-14,Soap Bar Luxury,10,8.99,USA
2023-05-15,Ring Doorbell,1,149.99,Canada
2023-05-16,Thermostat Nest,1,249.99,Europe
2023-05-17,Charger Laptop Dell,1,79.99,USA
2023-05-18,Sticker Laptop Funny,5,4.99,Australia
2023-05-19,Plug Extension Smart,3,39.99,USA
2023-05-20,Cover Book Clear,20,2.99,Canada
2023-05-21,Eraser Whiteboard,8,5.99,Europe
2023-05-22,Pen Gel Pack 12,4,9.99,USA
2023-05-23,Highlighter Set,6,12.99,Australia
2023-05-24,Folder Plastic,10,3.99,USA
2023-05-25,Marker Permanent,5,14.99,Canada
2023-05-26,Glue Stick,12,6.99,Europe
2023-05-27,Tape Double Sided,3,8.99,USA
2023-05-28,Punch Hole 3-Hole,1,19.99,Australia
2023-05-29,Stapler Heavy Duty,2,29.99,USA
2023-05-30,Paper Clips 1000pk,4,7.99,Canada
2023-05-31,Ruler Metal 12in,10,4.99,Europe
2023-06-01,Laptop Lenovo ThinkPad,1,1299.99,USA
2023-06-02,Mousepad RGB,1,49.99,Australia
2023-06-03,iPhone Case Spigen,3,29.99,USA
2023-06-04,Jeans Slim Fit,2,69.99,Europe
2023-06-05,AirPods Max,1,549.99,Canada
2023-06-06,Desk Ergonomic,1,349.99,USA
2023-06-07,Textbook Data Science,2,79.99,Australia
2023-06-08,Sneakers Running,1,149.99,Europe
2023-06-09,Monitor 32inch 4K,1,399.99,USA
2023-06-10,Keyboard Wireless,2,59.99,Canada
2023-06-11,Hoodie Oversized,1,89.99,Europe
2023-06-12,Espresso Machine,1,299.99,USA
2023-06-13,Bicycle Hybrid,1,799.99,Australia
2023-06-14,Comforter Winter,1,149.99,USA
2023-06-15,Apple Watch Ultra,1,799.99,Canada
2023-06-16,Food Processor,1,199.99,Europe
2023-06-17,Dresser 6 Drawer,1,599.99,USA
2023-06-18,SSD 2TB NVMe,1,199.99,Australia
2023-06-19,Briefcase Leather,1,249.99,USA
2023-06-20,Microwave Large,1,229.99,Canada
2023-06-21,Pullover Sweater,2,79.99,Europe
2023-06-22,Action Camera GoPro,1,399.99,USA
2023-06-23,Bookshelf Floating,2,89.99,Australia
2023-06-24,MacBook Air M2,1,1199.99,USA
2023-06-25,Leggings Yoga,3,39.99,Canada
2023-06-26,Wine Cooler,1,499.99,Europe
2023-06-27,Dumbbells Adjustable,1,299.99,USA
2023-06-28,Freezer Chest,1,399.99,Australia
2023-06-29,Journal Leather,5,24.99,USA
2023-06-30,Extension Cord Heavy Duty,2,29.99,Canada
2023-07-01,Queen Bed Frame,1,449.99,Europe
2023-07-02,Smart Plug Kasa,4,19.99,USA
2023-07-03,Midi Skirt,1,69.99,Australia
2023-07-04,Top Load Washer,1,699.99,USA
2023-07-05,Lumbar Support Pillow,3,39.99,Canada
2023-07-06,Instant Pot Duo,1,129.99,Europe
2023-07-07,Button Down Shirt,2,59.99,USA
2023-07-08,Elliptical Machine,1,999.99,Australia
2023-07-09,Cleaning Robot,1,349.99,USA
2023-07-10,Blinds Cordless,2,99.99,Canada
2023-07-11,Lipstick Matte Set,3,29.99,Europe
2023-07-12,Garage Door Opener,1,299.99,USA
2023-07-13,AAA Batteries 48pk,2,19.99,Australia
2023-07-14,Face Cream Moisturizer,4,45.99,USA
2023-07-15,Security Camera Ring,2,99.99,Canada
2023-07-16,Smart Lock Kwikset,1,199.99,Europe
2023-07-17,Power Strip Surge Protector,3,29.99,USA
2023-07-18,Decal Vinyl,10,3.99,Australia
2023-07-19,Smart Plug Meross,4,22.99,USA
2023-07-20,Book Sleeve,6,9.99,Canada
2023-07-21,Dry Erase Board,2,39.99,Europe
2023-07-22,Ballpoint Pens 20pk,3,12.99,USA
2023-07-23,Markers Washable,5,15.99,Australia
2023-07-24,Expanding File,2,24.99,USA
2023-07-25,Sharpie Markers Fine Point,4,13.99,Canada
2023-07-26,Glue Gun Hot,1,29.99,Europe
2023-07-27,Paper Punch,1,22.99,USA
2023-07-28,Staples Refill,5,9.99,Australia
2023-07-29,Rubber Bands,3,6.99,USA
2023-07-30,Metal Ruler 18in,8,7.99,Canada
2023-07-31,Protractor Set,10,5.99,Europe
2023-08-01,MacBook Pro M3,1,1999.99,USA
2023-08-02,RGB Keyboard,1,129.99,Australia
2023-08-03,Galaxy S24 Case,3,35.99,USA
2023-08-04,Chinos Slim,2,79.99,Europe
2023-08-05,Sony WH1000XM5,1,399.99,Canada
2023-08-06,Standing Desk,1,599.99,USA
2023-08-07,Machine Learning Book,2,89.99,Australia
2023-08-08,Trail Running Shoes,1,169.99,Europe
2023-08-09,Ultrawide Monitor,1,499.99,USA
2023-08-10,Ergonomic Mouse,2,69.99,Canada
2023-08-11,Crewneck Sweatshirt,1,99.99,Europe
2023-08-12,French Press,1,79.99,USA
2023-08-13,Electric Scooter,1,899.99,Australia
2023-08-14,Memory Foam Mattress,1,799.99,USA
2023-08-15,Samsung Galaxy Watch,1,299.99,Canada
2023-08-16,Stand Mixer,1,449.99,Europe
2023-08-17,TV Stand,1,299.99,USA
2023-08-18,M2 SSD 4TB,1,399.99,Australia
2023-08-19,Designer Handbag,1,499.99,USA
2023-08-20,Convection Oven,1,349.99,Canada
2023-08-21,Cashmere Scarf,2,129.99,Europe
2023-08-22,DJI Mavic Drone,1,1099.99,USA
2023-08-23,Billy Bookcase,2,99.99,Australia
2023-08-24,iPad Pro M4,1,1299.99,USA
2023-08-25,Athletic Shorts,3,49.99,Canada
2023-08-26,Minibar Fridge,1,249.99,Europe
2023-08-27,Kettlebell Set,1,199.99,USA
2023-08-28,Upright Freezer,1,599.99,Australia
2023-08-29,Leather Journal,5,34.99,USA
2023-08-30,Smart Extension Cord,2,39.99,Canada
2023-08-31,Metal Platform Bed,1,699.99,Europe
2023-09-01,WiFi Smart Plug,4,24.99,USA
2023-09-02,Maxi Dress,1,89.99,Australia
2023-09-03,Front Load Washer,1,999.99,USA
2023-09-04,Seat Cushion Memory Foam,3,49.99,Canada
2023-09-05,Pressure Cooker,1,149.99,Europe
2023-09-06,Oxford Shirt,2,69.99,USA
2023-09-07,Rowing Machine,1,1299.99,Australia
2023-09-08,Mop Robot,1,399.99,USA
2023-09-09,Roller Shades,2,119.99,Canada
2023-09-10,Lip Gloss Set,3,34.99,Europe
2023-09-11,Smart Doorbell,1,199.99,USA
2023-09-12,Rechargeable Batteries,2,29.99,Australia
2023-09-13,Moisturizer Night Cream,4,59.99,USA
2023-09-14,Outdoor Camera,2,129.99,Canada
2023-09-15,Keyless Entry Lock,1,249.99,Europe
2023-09-16,Surge Protector Power Strip,3,34.99,USA
2023-09-17,Laptop Decals,10,4.99,Australia
2023-09-18,TP-Link Smart Plug,4,25.99,USA
2023-09-19,Hardcover Book Cover,6,12.99,Canada
2023-09-20,Magnetic Whiteboard,2,49.99,Europe
2023-09-21,Gel Pens 12pk,3,14.99,USA
2023-09-22,Crayola Markers,5,19.99,Australia
2023-09-23,File Organizer Desktop,2,29.99,USA
2023-09-24,Ultra Fine Sharpies,4,17.99,Canada
2023-09-25,Mini Glue Gun,1,34.99,Europe
2023-09-26,Two Hole Punch,1,27.99,USA
2023-09-27,Desktop Stapler,5,12.99,Australia
2023-09-28,Large Rubber Bands,3,8.99,USA
2023-09-29,Flexible Ruler,8,9.99,Canada
2023-09-30,Geometry Set,10,7.99,Europe
2023-10-01,HP Spectre x360,1,1499.99,USA
2023-10-02,Wireless Mouse Logitech MX,1,99.99,Australia
2023-10-03,Pixel 8 Case,3,39.99,USA
2023-10-04,Straight Fit Jeans,2,89.99,Europe
2023-10-05,Beats Studio Buds,1,169.99,Canada
2023-10-06,L Shaped Desk,1,449.99,USA
2023-10-07,Deep Learning Book,2,99.99,Australia
2023-10-08,Cross Training Shoes,1,189.99,Europe
2023-10-09,Dual Monitor Stand,1,129.99,USA
2023-10-10,Vertical Mouse,2,79.99,Canada
2023-10-11,Zip Up Hoodie,1,109.99,Europe
2023-10-12,Aeropress Coffee Maker,1,99.99,USA
2023-10-13,E Fat Tire Bike,1,1499.99,Australia
2023-10-14,Latex Mattress,1,999.99,USA
2023-10-15,Fitbit Charge 6,1,159.99,Canada
2023-10-16,Immersion Blender,1,89.99,Europe
2023-10-17,Armoire Wardrobe,1,799.99,USA
2023-10-18,PCIe SSD 2TB,1,179.99,Australia
2023-10-19,Messenger Bag,1,179.99,USA
2023-10-20,OTG Microwave,1,279.99,Canada
2023-10-21,Turtleneck Sweater,2,99.99,Europe
2023-10-22,Osmo Mobile Gimbal,1,159.99,USA
2023-10-23,Industrial Shelving,2,149.99,Australia
2023-10-24,iPad Mini 7,1,499.99,USA
2023-10-25,Sports Bra,3,59.99,Canada
2023-10-26,Bar Fridge,1,349.99,Europe
2023-10-27,Power Rack,1,799.99,USA
2023-10-28,Side by Side Fridge,1,1799.99,Australia
2023-10-29,Hardcover Notebook,5,44.99,USA
2023-10-30,15A Extension Cord,2,49.99,Canada
2023-10-31,Adjustable King Bed,1,899.99,Europe
2023-11-01,Alexa Smart Plug,4,29.99,USA
2023-11-02,Pencil Skirt,1,99.99,Australia
2023-11-03,Compact Washer Dryer,1,1299.99,USA
2023-11-04,Orthopedic Pillow,3,69.99,Canada
2023-11-05,Multi Cooker,1,179.99,Europe
2023-11-06,Dress Shirt,2,79.99,USA
2023-11-07,Peloton Bike,1,2445.00,Australia
2023-11-08,Window Robot Cleaner,1,499.99,USA
2023-11-09,Honeycomb Blinds,2,139.99,Canada
2023-11-10,Lip Liner Set,3,39.99,Europe
2023-11-11,Video Doorbell Wired,1,99.99,USA
2023-11-12,Li ion Batteries,2,39.99,Australia
2023-11-13,Serum Vitamin C,4,69.99,USA
2023-11-14,Floodlight Camera,2,199.99,Canada
2023-11-15,Touchscreen Deadbolt,1,299.99,Europe
2023-11-16,HDMI Power Strip,3,49.99,USA
2023-11-17,Wall Decals Art,10,6.99,Australia
2023-11-18,Wyze Smart Plug,4,28.99,USA
2023-11-19,Fabric Book Cover,6,15.99,Canada
2023-11-20,Glass Whiteboard,2,69.99,Europe
2023-11-21,Rollerball Pens,3,19.99,USA
2023-11-22,Art Markers 72 Set,5,49.99,Australia
2023-11-23,Accordion File,2,39.99,USA
2023-11-24,Brush Tip Markers,4,24.99,Canada
2023-11-25,Craft Glue Gun,1,39.99,Europe
2023-11-26,Single Hole Punch,1,32.99,USA
2023-11-27,Electric Stapler,5,19.99,Australia
2023-11-28,Jumbo Rubber Bands,3,12.99,USA
2023-11-29,Steel Ruler,8,12.99,Canada
2023-11-30,Compass Drafting,10,11.99,Europe
2023-12-01,Surface Laptop 7,1,1799.99,USA
2023-12-02,Trackpad Magic,1,129.99,Australia
2023-12-03,Magsafe Charger,3,49.99,USA
2023-12-04,Bootcut Jeans,2,99.99,Europe
2023-12-05,Bose QuietComfort Ultra,1,429.99,Canada
2023-12-06,Corner Desk Hutch,1,549.99,USA
2023-12-07,AI Engineering Book,2,109.99,Australia
2023-12-08,Max Cushion Shoes,1,209.99,Europe
2023-12-09,Monitor Arm Dual,1,159.99,USA
2023-12-10,Bluetooth Mouse,2,89.99,Canada
2023-12-11,Fleece Jacket,1,119.99,Europe
2023-12-12,Pourover Coffee Set,1,119.99,USA
2023-12-13,Folding E Bike,1,1899.99,Australia
2023-12-14,Hybrid Mattress,1,1199.99,USA
2023-12-15,Garmin Venu 3,1,449.99,Canada
2023-12-16,High Speed Blender,1,299.99,Europe
2023-12-17,Walk In Closet Organizer,1,999.99,USA
2023-12-18,M2 Pro SSD 8TB,1,799.99,Australia
2023-12-19,Satchel Bag,1,299.99,USA
2023-12-20,Smart Microwave,1,399.99,Canada
2023-12-21,Cardigan Sweater,2,129.99,Europe
2023-12-22,Insta360 Camera,1,449.99,USA
2023-12-23,Garage Storage Shelves,2,199.99,Australia
2023-12-24,Mac Studio M2,1,1999.99,USA
2023-12-25,Compression Socks,3,69.99,Canada
2023-12-26,Beverage Cooler,1,449.99,Europe
2023-12-27,Squat Rack,1,999.99,USA
2023-12-28,French Door Fridge,1,2199.99,Australia
2023-12-29,Ring Bound Notebook,5,54.99,USA
2023-12-30,20A Extension Cord,2,69.99,Canada
2023-12-31,Storage Bed Queen,1,1199.99,Europe
2024-01-01,Google Smart Plug,4,34.99,USA
2024-01-02,Winter Coat Parka,1,349.99,Australia
2024-01-03,Stackable Washer Dryer,1,1699.99,USA
2024-01-04,Neck Pillow Travel,3,79.99,Canada
2024-01-05,Dutch Oven Cast Iron,1,199.99,Europe
2024-01-06,Polo Shirt,2,89.99,USA
2024-01-07,Air Bike Assault,1,1499.99,Australia
2024-01-08,Gutter Robot,1,599.99,USA
2024-01-09,Motorized Blinds,2,199.99,Canada
2024-01-10,Eyeliner Liquid Set,3,49.99,Europe
2024-01-11,Battery Doorbell,1,149.99,USA
2024-01-12,NiMH Batteries,2,49.99,Australia
2024-01-13,Retinol Serum,4,89.99,USA
2024-01-14,Spotlight Camera,2,249.99,Canada
2024-01-15,Fingerprint Lock,1,349.99,Europe
2024-01-16,Lightning Power Strip,3,59.99,USA
2024-01-17,Custom Decals,10,9.99,Australia
2024-01-18,Gosund Smart Plug,4,32.99,USA
2024-01-19,Soft Book Cover,6,19.99,Canada
2024-01-20,Cork Board,2,89.99,Europe
2024-01-21,Fountain Pens,3,29.99,USA
2023-11-22,Copic Markers 36 Set,5,99.99,Australia
2024-01-23,Letter Tray Stackable,2,49.99,USA
2024-01-24,Alcohol Markers,4,34.99,Canada
2024-01-25,Professional Glue Gun,1,49.99,Europe
2024-01-26,Heavy Duty Punch,1,39.99,USA
2024-01-27,Pneumatic Stapler,5,29.99,Australia
2024-01-28,Extra Large Bands,3,17.99,USA
2024-01-29,Architect Ruler Set,8,19.99,Canada
2024-01-30,Drawing Compass,10,15.99,Europe
